      Wday shift  Camden		City	NorthEast	Soho	South	Southeast	Victoria West(new)	West		EBERTY-ZENTRAL  Central
    Monday Morning    240   330       240  330   240       240      240     180   270             210        180
    Monday Evening    240  450       240  450   240       240      360     240   270             210        240
   Tuesday Morning    240  330       240  330   240       240      240     180   270             210        180      
   Tuesday Evening    240  450       240  450   240       240      360     240   270             210        240
 Wednesday Morning    240  330       240  330   240       240      240     180   270             210        180
 Wednesday Evening    240  450       240  450   240       240      360     240   270             210        240
  Thursday Morning    240  330       240  330   240       240      240     180   270             210        180
  Thursday Evening    240  450       240  450   240       240      360     240   270             210        240
    Friday Morning    240  330       240  330   240       240      240     180   270             210        180
    Friday Evening    180    0       180  390   180       180      360     180   270             210        180
  Saturday Morning    270  270       270  270   270       270      270     270   270             420        300
  Saturday Evening      0     0         0    0     0         0        0       0     0               0        0
    Sunday Morning    270  270       270  270   270       270      270     270     0               0        0
    Sunday Evening    240    0       240  240   240       240      240     240     0               0        0
